role,title,company,sql,excel,power bi,tableau,python,statistics,data analytics,machine learning,data visualization,etl,communication,problem solving
data-science,ai and entrepreneurship,startup village club,0,0,0,0,0,0,0,0,0,0,1,0
data-science,ai content creator & strategist,lumibyte private limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,operations & strategy intern,joveo,0,1,0,0,0,0,0,1,0,0,1,0
data-science,data analytics,grow2viral,1,1,0,1,1,0,1,1,1,0,0,0
data-science,business analytics,zixflow,0,0,0,0,0,0,0,0,0,0,0,0
data-science,artificial intelligence (ai),nayepankh foundation,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data analytics,nayepankh foundation,1,1,1,0,1,0,1,0,1,0,0,0
data-science,machine learning,queens of change foundation,0,0,0,0,0,0,1,1,0,0,0,0
data-science,artificial intelligence (ai),basti ki pathshala foundation,0,0,0,0,1,0,0,1,0,0,1,0
data-science,database building/management,baby dino,0,0,0,0,0,0,0,0,0,0,0,0
data-science,artificial intelligence (ai),upperthrust technologies private limited,0,0,0,0,1,0,0,1,0,0,0,0
data-science,software development,jash data sciences private limited,1,0,0,0,1,0,0,1,1,1,0,0
data-science,artificial intelligence (ai),rpk agrotech exports private limited,0,0,0,0,1,0,0,0,0,0,0,0
data-science,machine learning,careernest,0,0,0,0,1,0,0,1,0,0,0,0
data-science,machine learning,qubixo,0,0,0,0,1,0,1,1,0,0,0,0
data-science,machine learning,amrata,0,0,0,0,1,0,1,1,0,0,0,0
data-science,data analytics,amrata,1,1,1,1,1,0,1,1,1,0,0,0
data-science,machine learning,vaibhav wakade,0,0,0,0,1,0,1,1,0,0,0,0
data-science,ai engineer,vega visionary training fze,0,0,0,0,1,0,0,0,0,0,0,0
data-science,data analytics,emoolar technology private limited,0,0,0,0,0,0,1,0,0,0,0,0
data-science,data analytics,3infotechsolution,0,0,0,0,1,0,1,0,0,0,0,0
data-science,artificial intelligence (ai),3infotechsolution,0,0,0,0,1,0,0,0,0,0,0,0
data-science,data annotation,redgenie technologies private limited,0,0,0,0,0,0,0,1,0,0,0,0
data-science,artificial intelligence (ai),queens of change foundation,0,0,0,0,0,0,0,0,0,0,0,0
data-science,social media analyst,career-domain,0,1,0,0,0,0,1,0,0,0,1,0
data-science,machine learning,interview ghost,0,0,0,0,1,0,0,1,0,0,0,0
data-science,survey coordinator,certiwisehub,0,1,0,0,0,0,1,0,0,0,0,0
data-science,data analytics,basti ki pathshala foundation,1,1,1,0,1,0,1,0,0,0,0,0
data-science,data analytics,qubixo,1,1,1,1,1,0,1,0,1,0,0,0
data-science,data annotation,daten & wissen private limited,0,1,0,0,0,0,0,0,0,0,0,0
data-science,quant trading,m.g. shares & stocks private limited,0,1,0,0,1,0,0,0,0,0,0,0
data-science,e-commerce marketing,advertising saga,0,0,0,0,0,0,0,0,0,0,1,0
data-science,founders office (executive assistant & ai),freedom life ventures,0,1,0,0,0,0,0,0,0,0,1,0
data-science,research and development,star sea management pvt ltd,0,0,0,0,0,0,1,0,0,0,0,0
data-science,prompt engineering,baby dino,0,0,0,0,0,0,0,0,0,0,1,0
data-science,artificial intelligence (ai),baby dino,0,0,0,0,0,0,0,1,0,0,0,0
data-science,ai agent development,"leader bolt (houston, united states)",0,0,0,0,1,0,0,0,0,0,0,0
data-science,frontend developer & artificial intelligence,celer commerce private limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data analytics,stay vista private limited,0,1,0,0,0,0,0,0,0,0,0,0
data-science,video annotator - freelance,indika ai private limited,0,1,0,0,0,0,0,0,0,0,0,0
data-science,machine learning,maxgen technologies private limited,0,0,0,0,0,0,0,1,1,0,0,0
data-science,ai image creator & graphic design,the funkydelic store,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data analytics,she can foundation,1,1,1,0,1,0,1,0,1,0,0,0
data-science,machine learning,basti ki pathshala foundation,0,0,0,0,1,0,1,1,1,0,1,0
data-science,ai web development,inamigos foundation,0,0,0,0,0,0,0,0,0,0,1,0
data-science,ai data analytics,inamigos foundation,0,0,0,0,0,0,1,0,0,0,1,0
data-science,data analytics,queens of change foundation,1,1,1,1,1,0,1,0,1,0,0,0
data-science,social media marketing,career-domain,0,1,0,0,0,0,1,0,0,0,1,0
data-science,research analyst,aihustle,0,0,0,0,0,0,0,0,0,0,1,1
data-science,data science,depple soft private limited,0,0,0,0,1,0,1,1,1,0,0,0
data-science,data systems & operations,classy cut,1,1,0,0,1,0,0,0,0,0,0,0
data-science,digital analyst,rankhighly,0,0,0,0,0,0,0,0,0,0,0,0
data-science,founders office,yourkrishi,0,0,0,0,0,0,0,0,0,0,1,0
data-science,financial market research,certiwisehub,0,1,0,0,0,0,0,0,0,0,0,0
data-science,python development,cloud back,0,0,0,0,1,0,0,1,0,0,1,0
data-science,data science,deepthought culturetech ventures private limited,0,0,0,0,0,0,0,0,0,0,1,0
data-science,artificial intelligence (ai),deepthought culturetech ventures private limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data analytics,deepthought culturetech ventures private limited,0,0,0,0,0,0,1,0,0,0,1,0
data-science,ai powered social media content creation,safalta setu,0,0,0,0,0,0,0,0,0,0,1,0
data-science,marketing automation,giant leap,0,0,0,0,0,0,0,0,0,0,0,0
data-science,business analytics,dekhega india,0,1,1,0,0,0,1,0,0,0,1,0
data-science,research & market intelligence analyst,vriddhikar society,0,1,0,0,0,0,0,0,0,0,0,1
data-science,stock market trading (backtesting and research),primetrade.ai,0,0,0,0,1,0,0,0,0,0,0,0
data-science,machine learning (modeling and evaluation),primetrade.ai,0,0,0,0,1,0,0,1,0,0,0,0
data-science,analytics (automation + reporting),primetrade.ai,1,0,0,0,1,1,1,0,0,0,0,0
data-science,ai agent development,primetrade.ai,0,0,0,0,1,0,0,0,0,0,0,0
data-science,artificial intelligence (ai),primetrade.ai,0,0,0,0,1,0,0,1,0,0,0,0
data-science,google adwords,global trend,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data analytics,maxgen technologies private limited,0,0,1,1,1,0,1,0,1,0,0,0
data-science,data science,maxgen technologies private limited,0,0,0,0,1,0,1,1,0,0,0,0
data-science,machine learning,she can foundation,0,0,0,0,1,0,1,1,0,0,0,0
data-science,artificial intelligence (ai),emoolar technology private limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data science,emoolar technology private limited,0,0,0,0,0,0,1,1,0,0,0,0
data-science,ai video editor,astrotalk,0,0,0,0,0,0,0,0,0,0,0,0
data-science,ai content creation,giant leap,0,0,0,0,0,0,0,0,0,0,0,0
data-science,coding instructor | mentor | data structures & algorithms,cipherschools,0,0,0,0,0,0,0,0,0,0,0,0
data-science,artificial intelligence (ai),dekhega india,0,1,0,0,0,0,0,1,0,0,0,0
data-science,data analytics,dekhega india,1,1,1,1,0,0,1,0,1,0,1,0
data-science,data analytics,fitbae healthcare private limited,0,1,0,0,0,0,1,0,0,0,1,0
data-science,graphic designer (static + motion + ai),marketing espy,0,0,0,0,0,0,0,0,0,0,0,0
data-science,excel expert,jp it staffing llc,0,1,0,0,0,0,0,0,0,0,1,0
data-science,knowledge management and research associate,spearhead intersearch,0,0,0,0,0,0,0,0,0,0,0,0
data-science,performance marketing,one root,0,0,0,0,0,0,0,0,0,0,0,0
data-science,lead management,edu shikshavertex private limited,0,1,0,0,0,0,0,0,0,0,1,0
data-science,artificial intelligence (ai),she can foundation,0,0,0,0,1,0,0,1,0,0,0,0
data-science,machine learning,nayepankh foundation,0,0,0,0,1,0,1,1,0,0,1,0
data-science,machine learning,cloud back,0,0,0,0,1,0,1,1,0,0,0,0
data-science,product engineering (ai-assisted development),experiences.digital,0,0,0,0,0,0,0,0,0,0,0,0
data-science,takeoff prompt student ambassador,takeoff entertainment llp,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data analytics,unessa foundation,0,0,0,0,0,0,1,0,0,0,0,0
data-science,data science,unessa foundation,0,0,0,0,0,0,1,0,1,0,0,0
data-science,ai data annotation executive – odia language,achieve point private limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data entry associate,codecraft it solutions,0,1,0,0,0,0,0,0,0,0,1,0
data-science,ai agent development,reveonai life sciences solutions private limited,0,0,0,0,0,0,0,0,0,0,0,1
data-science,data science,queens of change foundation,1,0,0,0,1,0,1,1,0,0,0,0
data-science,business strategy analyst,faclon,0,1,1,0,0,0,1,0,0,0,0,0
data-science,business analyst (legal & data),creating minds,0,0,0,0,0,0,1,0,0,0,1,1
data-science,data analytics,jobyaari,0,1,0,0,0,0,1,0,0,0,0,1
data-science,machine learning,indiascope,0,0,0,0,1,0,0,1,0,0,0,0
data-science,ai content creation,blur candy,0,0,0,0,0,0,0,0,0,0,0,0
data-science,machine learning,webmobi,0,0,0,0,1,0,0,1,0,0,0,0
data-science,ai website & digital experience,sjain ventures limited,0,0,0,0,0,0,0,0,0,0,0,0
data-science,"ai automation (n8n, ai agents & apis)",wayfarer ecommerce private limited,0,1,0,0,1,0,0,0,0,0,0,0
data-science,ai engineer,innovativus technologies private limited,0,0,0,0,1,0,0,1,0,0,0,0
data-science,data research (education domain),careers360,0,1,0,0,0,0,0,0,0,0,0,0
data-science,python development,she can foundation,0,0,0,0,1,0,0,1,0,0,1,0
data-science,ai driven growth marketing,leadstrategus,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data processing,codecraft it solutions,0,1,0,0,0,0,0,0,0,0,1,0
data-science,data science,accredian,1,0,0,0,1,0,0,1,1,0,0,0
data-science,data analytics faculty (online),vikalp india private limited,0,0,0,0,0,0,1,0,0,0,0,0
data-science,data entry,codecraft it solutions,0,1,0,0,0,0,1,0,0,0,1,0
data-science,data analytics,pv doctor pte. ltd.,1,1,0,0,1,0,1,0,0,0,0,0
data-science,data management executive,codecraft it solutions,0,1,0,0,0,0,1,0,0,0,1,1
data-science,tagin language expert (native speakers),solvitude,0,1,0,0,0,0,0,0,0,0,1,0
data-science,nagamese language expert (native speakers),solvitude,0,1,0,0,0,0,0,0,0,0,1,0
data-science,karbi language expert (native speakers),solvitude,0,1,0,0,0,0,0,0,0,0,1,0
data-science,software development,tactical response automation pvt. ltd.,0,0,0,0,1,0,0,1,0,0,0,0
data-science,data entry & business data research,wechartered consultancy private limited,0,1,0,0,0,0,1,0,0,0,1,0
data-science,nyishi language expert (native speakers),solvitude,0,1,0,0,0,0,0,0,0,0,1,0
data-science,manipuri language expert (native speakers),solvitude,0,1,0,0,0,0,0,0,0,0,1,0
data-science,artificial intelligence (ai),funlingo,0,0,0,0,0,0,0,0,0,0,0,0
data-science,robotics,vedron.ai,0,0,0,0,1,0,0,0,0,0,0,0
data-science,data science,omnidya tech llp,1,1,0,0,1,1,1,1,0,0,0,0
data-science,google ads expert,codecraft it solutions,0,1,0,0,0,0,1,0,0,0,1,0
data-science,data science,blurgs,0,0,0,0,1,0,0,1,0,0,0,0
data-science,artificial intelligence (ai),the aitel,0,0,0,0,1,0,0,1,0,0,0,0
data-science,consumer research,equity reach,0,0,0,0,0,0,0,0,0,0,1,0
data-science,academy lead – ai education,namaah pvt ltd,0,0,0,0,0,0,0,0,0,0,1,0
data-science,data processing associate,codecraft it solutions,0,1,0,0,0,0,0,0,0,0,1,0
data-science,ai agent development,propyaar,0,0,0,0,1,0,0,1,0,0,0,0
data-science,technical analyst,requin solutions private limited,1,0,0,0,1,0,1,1,1,0,0,0
data-science,ai research,synergy labs,0,0,0,0,1,0,0,1,0,0,0,0
data-science,reinforcement learning,technoculture research,0,0,0,0,1,0,0,0,0,0,0,0
data-science,ai/ml inference kernel engineer,hubnine india private limited,0,0,0,0,1,0,0,1,0,0,0,0
data-science,ai and robotics trainer,stempedia,0,0,0,0,1,0,0,0,0,0,0,0
data-science,artificial intelligence (ai),vedaz,0,0,0,0,0,0,0,0,0,0,0,0
data-science,marketing & ai systems,subash vijay associates (sva),0,0,0,0,0,0,0,0,0,0,0,0
data-science,data collection & annotation,consultbae,0,0,0,0,0,0,0,1,0,0,1,0
data-science,ai engineer,heu technologies private limited,0,0,0,0,1,0,0,0,0,0,0,0
data-science,data scientist,maxgen technologies private limited,0,0,0,0,0,0,0,1,1,0,0,0
data-science,data anlayst,maxgen technologies private limited,0,1,0,1,0,0,1,0,0,0,0,0
data-science,machine learning,twilearn edutech private limited,0,0,0,0,1,0,1,1,0,0,0,0
data-science,data analytics,twilearn edutech private limited,1,1,1,1,1,0,1,1,0,0,0,0
data-science,artificial intelligence (ai),unimonks,0,0,0,0,0,0,0,0,0,0,0,0
data-science,data collection - non-tech role,consultbae,0,0,0,0,0,0,0,0,0,0,1,0
